"Client Username","Annual Premium 2024","Annual Premium 2025","Claim Amount 2024","Claim Amount 2025","Claims Filed 2024","Claims Filed 2025","Client Country","Client Tenure","Policy Type","Premium Plan"
"Bernard_T","0","480","0","2300","0","1","FR","1","Auto","N"
"Ahmed_Family","720","778","0","4300","0","1","UK","2","Home","Y"
"Martinez_R","580","625","0","2100","0","1","US","5","Auto","N"
"Lefevre_Family","650","705","5","9410","0","1","FR","4","Home","N"
"Sharma_V","220","231","0","500","0","1","UK","2","Travel","N"
"Apex_Group","1050","1200","0","6000","0","1","US","2","Commercial","N"
"Patel_S","380","405","0","2443","0","1","UK","2","Auto","N"
"Petit_Holdings","1150","1250","0","12000","0","1","FR","2","Commercial","Y"
"Lyon_Enterprises","0","1200","0","6000","0","1","FR","1","Commercial","N"
"Phillips_T","0","380","0","1960","0","1","US","1","Auto","N"
"Westbrook_Inc","850","902","0","21033","0","1","FR","4","Home","Y"
"Chang_L","290","310","0","831","0","1","DE","3","Travel","N"
"Weber_Family","1000","1100","0","8930","0","1","DE","4","Home","Y"
"Singh_Family","850","950","0","16700","0","1","US","4","Home","Y"
